Id,Objeto,Calle,Altura,Direc_norm,Telefono,Barrio,Comuna,Longitud,Latitud
663,FARMACIA,AV DE LOS CONSTITUYENTES,6163,DE LOS CONSTITUYENTES AV. 6163,45729090,VILLA URQUIZA,12,-58.507186202170395,-34.570883195527642
664,FARMACIA,AV SANTA FE,4538,SANTA FE AV. 4538,47733978,PALERMO,14,-58.424871701887341,-34.579218988162474
665,FARMACIA,AV RIVADAVIA,7363,RIVADAVIA AV. 7363,46119258,FLORES,7,-58.469100101338199,-34.630375764026404
666,FARMACIA,MONROE,2802,MONROE 2802,45437552,BELGRANO,13,-58.463604500642809,-34.560663719051853
667,FARMACIA,DEL BARCO CENTENERA,1282,BARCO CENTENERA del 1282,49215744,PARQUE CHACABUCO,7,-58.435694395523107,-34.634274347043188
668,FARMACIA,MORENO,2202,MORENO 2202,49510127,BALVANERA,3,-58.397560491443421,-34.613226002732972
670,FARMACIA,AV BOEDO,937,BOEDO AV. 937,49311458,BOEDO,5,-58.416374646257168,-34.624689371755949
671,FARMACIA,ROMULO NAON,2186,"NAON, ROMULO 2186",45428254,VILLA URQUIZA,12,-58.471201893869164,-34.569539460101474
672,FARMACIA,AV INDEPENDENCIA,2900,INDEPENDENCIA AV. 2900,49572669 fax 49323254,SAN CRISTOBAL,3,-58.406253586705191,-34.619576357980435
673,FARMACIA,AV LOPE DE VEGA,1702,LOPE DE VEGA AV. 1702,45671708,MONTE CASTRO,10,-58.511882881651104,-34.624296785051833
674,FARMACIA,RAMALLO,2568,RAMALLO 2568,47044700,SAAVEDRA,12,-58.474786052857048,-34.543883285617753
675,FARMACIA,MONROE,5080,MONROE 5080,45216635,VILLA URQUIZA,12,-58.485872786985297,-34.574264642791292
676,FARMACIA,ALVAREZ JONTE,2336,ALVAREZ JONTE 2336,45824444,VILLA GRAL. MITRE,11,-58.475317405355725,-34.60635085883316
677,FARMACIA,AV PRESIDENTE  QUINTANA,392,"QUINTANA, MANUEL, PRES. 392",48135328/1189,RECOLETA,2,-58.388903982217876,-34.589440067187667
678,FARMACIA,SALTA,534,SALTA 534,,MONSERRAT,1,-58.382871077351723,-34.614718357885515
679,FARMACIA,AV CORONEL DIAZ,2179,"DIAZ, CNEL. AV. 2179",48223165,RECOLETA,2,-58.408347890087754,-34.586951552463319
681,FARMACIA,PIEDRAS,88,PIEDRAS 88,43421313,MONSERRAT,1,-58.377643016769753,-34.609110134140465
682,FARMACIA,MARCELO T. DE ALVEAR,2045,"ALVEAR, MARCELO T. De 2045",48166611,RECOLETA,2,-58.396695613463912,-34.597094786045183
683,FARMACIA,AV BELGRANO,2530,BELGRANO AV. 2530,43082678,BALVANERA,3,-58.4018302043362,-34.614641661460055
684,FARMACIA,AV VARELA,794,VARELA AV. 794,46120656 46110079,FLORES,7,-58.45951096979104,-34.63840813129449
685,FARMACIA,AV IRIARTE,3299,"IRIARTE, GRAL. AV. 3299",,BARRACAS,4,-58.393748238839279,-34.651258743459088
686,FARMACIA,AV LOPE DE VEGA,3452,LOPE DE VEGA AV. 3452,45681376,VILLA REAL,10,-58.527949465881775,-34.612114472716797
687,FARMACIA,RECONQUISTA,458,RECONQUISTA 458,,SAN NICOLAS,1,-58.372701512431455,-34.602623513782483
688,FARMACIA,AV ALVAREZ JONTE,5402,ALVAREZ JONTE AV. 5402,45678388,VILLA LURO,10,-58.512622627292771,-34.625295057458992
689,FARMACIA,MONROE,2112,MONROE 2112,47812242,BELGRANO,13,-58.457140405524605,-34.556845717224441
690,FARMACIA,AV BEIRO FRANCISCO,5800,"BEIRO, FRANCISCO AV. 5800",46411307,VILLA REAL,10,-58.529881414575833,-34.617913134189628
691,FARMACIA,MONROE,2101,MONROE 2101,47814241,BELGRANO,13,-58.457299261457656,-34.556573805743945
692,FARMACIA,AV ENTRE RIOS,940,ENTRE RIOS AV. 940,43042462 fax 4381,CONSTITUCION,1,-58.391430890869053,-34.619543536995877
693,FARMACIA,ACASSUSO,6384,ACASSUSO 6384,46410525,LINIERS,9,-58.513448550572328,-34.648524465407874
694,FARMACIA,LA RIOJA,1905,LA RIOJA 1905,49434622  1560002200,PARQUE PATRICIOS,4,-58.406166306401772,-34.633920213543462
695,FARMACIA,ALBARRACIN,1551,ALBARRACIN 1551,49240996,PARQUE CHACABUCO,7,-58.430106057657227,-34.63514048396982
696,FARMACIA,J B ALBERDI,7467,"ALBERDI, JUAN BAUTISTA AV. 7467",,MATADEROS,9,-58.517431682447729,-34.661716573945
697,FARMACIA,AV JUAN B. ALBERDI,7461,"ALBERDI, JUAN BAUTISTA AV. 7461",46871115 46870606,MATADEROS,9,-58.517320649701304,-34.661671465512384
698,FARMACIA,CHILE,700,CHILE 700,43624445,SAN TELMO,1,-58.375867007460116,-34.61631324637267
699,FARMACIA,LISANDRO DE LA TORRE,1079,"DE LA TORRE, LISANDRO 1079",46413266,LINIERS,9,-58.51632645891393,-34.650350470706229
700,FARMACIA,AV ASAMBLEA,1102,ASAMBLEA AV. 1102,49215766,PARQUE CHACABUCO,7,-58.440442807046765,-34.63576283343059
701,FARMACIA,AV BALBIN,3936,"BALBIN, RICARDO, DR. AV. 3936",45454578 45418135,SAAVEDRA,12,-58.485425788668479,-34.555057555232274
702,FARMACIA,BRASIL,1201,BRASIL 1201,43041648,CONSTITUCION,1,-58.382979805278872,-34.627776365198081
703,FARMACIA,LIBERTADOR,810,DEL LIBERTADOR AV. 810,48111180,RECOLETA,2,-58.384165822169443,-34.587803245714504
704,FARMACIA,RIO CUARTO,2400,RIO CUARTO 2400,43010330 43015429,BARRACAS,4,-58.379697995383978,-34.650993091014982
705,FARMACIA,AV RIVADAVIA,8896,RIVADAVIA AV. 8896,,VELEZ SARSFIELD,10,-58.489225698587454,-34.635784360680347
706,FARMACIA,AV DIRECTORIO,4701,DIRECTORIO AV. 4701,46823921/3920,PARQUE AVELLANEDA,9,-58.488403541539697,-34.648374098079408
707,FARMACIA,AV LA PLATA,1560,LA PLATA AV. 1560,,BOEDO,5,-58.425093386114739,-34.633164596716604
708,FARMACIA,MAIPU,738,MAIPU 738,43933782,SAN NICOLAS,1,-58.377026395861407,-34.599600744271953
709,FARMACIA,AV CABILDO,100,CABILDO AV. 100,47710960 47776123,PALERMO,14,-58.437165379599826,-34.574333631643889
711,FARMACIA,AV RIVADAVIA,5802,RIVADAVIA AV. 5802,49880100,CABALLITO,6,-58.447313834447044,-34.623242478331768
712,FARMACIA,PASTEUR,532,PASTEUR 532,49593100,BALVANERA,3,-58.399831228889838,-34.602983330366861
713,FARMACIA,GUEMES,3271,GUEMES 3271,48250823,RECOLETA,2,-58.410837923828922,-34.590345406516604
714,FARMACIA,AV RIVADAVIA,2754,RIVADAVIA AV. 2754,48641834 48616502,BALVANERA,3,-58.405268131932878,-34.610260159741138
715,FARMACIA,VIDAL,1784,VIDAL 1784,47886204,BELGRANO,13,-58.457923819745801,-34.567242135788625
716,FARMACIA,AV ALVAREZ JONTE,3202,ALVAREZ JONTE AV. 3202,45812132,VILLA SANTA RITA,11,-58.488032626243282,-34.610136422392394
717,FARMACIA,AV RIVADAVIA,3600,RIVADAVIA AV. 3600,48613348,ALMAGRO,5,-58.417084254260182,-34.611108972780251
718,FARMACIA,AV EVA PERON,5338,"PERON, EVA AV. 5338",46829809,VILLA LUGANO,8,-58.482473560470474,-34.660476102613984
719,FARMACIA,BARTOLOME MITRE,3501,"MITRE, BARTOLOME 3501",48670202 48653185,ALMAGRO,5,-58.416093794834957,-34.609308367677116
720,FARMACIA,AV RIVADAVIA,4953,RIVADAVIA AV. 4953,49025222,CABALLITO,6,-58.435217583791264,-34.617546940979111
721,FARMACIA,AV FEDERICO LACROZE,4125,"LACROZE, FEDERICO AV. 4125",45538400,CHACARITA,15,-58.454871008321184,-34.586210944687885
722,FARMACIA,BERUTI,3300,BERUTI 3300,48229180/4624,RECOLETA,2,-58.408954953053026,-34.587772633625768
723,FARMACIA,AV TRIUNVIRATO,4101,TRIUNVIRATO AV. 4101,45211638,VILLA URQUIZA,12,-58.478974293503079,-34.578948806116344
725,FARMACIA,BRASIL,800,BRASIL 800,43005498,SAN TELMO,1,-58.376042290346433,-34.626318914931424
726,FARMACIA,ECHEVERRIA,1472,ECHEVERRIA 1472,47844794,BELGRANO,13,-58.446488421589237,-34.557614691766908
727,FARMACIA,AV PUEYRREDON,1502,PUEYRREDON AV. 1502,48229744,RECOLETA,2,-58.402003356099939,-34.59316321641009
728,FARMACIA,AV MEDRANO,60,MEDRANO AV. 60,,ALMAGRO,5,-58.421395261352501,-34.610564281871355
729,FARMACIA,AV ENTRE RIOS,1177,ENTRE RIOS AV. 1177,43047719 43040951,SAN CRISTOBAL,3,-58.39172422059459,-34.622442198917184
730,FARMACIA,AV SOLDADO DE LA FRONTERA EDIF 29,5186,SOLDADO DE LA FRONTERA AV. 5186,,VILLA LUGANO,8,-58.463564860464778,-34.684780643341483
731,FARMACIA,AV MONROE,3508,MONROE AV. 3508,45412565,BELGRANO,13,-58.470426439551851,-34.565073349575471
732,FARMACIA,SAN JOSE,321,SAN JOSE 321,51732328,MONSERRAT,1,-58.386319204403136,-34.612490684130307
734,FARMACIA,AV DE LOS INMIGRANTES,2509,DE LOS INMIGRANTES AV. 2509,43159327,RETIRO,1,-58.369040628733366,-34.584882457933325
735,FARMACIA,AV BEIRO FRANCISCO,4402,"BEIRO, FRANCISCO AV. 4402",,VILLA DEVOTO,11,-58.512805280696888,-34.606716828745839
736,FARMACIA,AV SANTA FE,2399,SANTA FE AV. 2399,48231551,RECOLETA,2,-58.400919347107468,-34.594645743886268
737,FARMACIA,AV DIAZ VELEZ,5101,DIAZ VELEZ AV. 5101,49821408 49836498,CABALLITO,6,-58.438860173471269,-34.60862024603319
738,FARMACIA,AV CALLAO,689,CALLAO AV. 689,43722152,SAN NICOLAS,1,-58.392516094872605,-34.60101057539854
739,FARMACIA,AV EVA PERON,3100,"PERON, EVA AV. 3100",46139767 46128730,FLORES,7,-58.460399634142313,-34.642999018478498
740,FARMACIA,AV SANTA FE,3350,SANTA FE AV. 3350,48258846,PALERMO,14,-58.41229885033443,-34.587808412664259
741,FARMACIA,BARTOLOME MITRE,3545,"MITRE, BARTOLOME 3545",,ALMAGRO,5,-58.416625425775045,-34.609325053359576
742,FARMACIA,AV SAN JUAN,172,SAN JUAN AV. 172,,SAN TELMO,1,-58.367472166918589,-34.621827417417606
743,FARMACIA,AV NAZCA,2602,NAZCA AV. 2602,45019111,VILLA DEL PARQUE,11,-58.486466098555866,-34.605721727979834
744,FARMACIA,DEL BARCO CENTENERA,151,BARCO CENTENERA del 151,49040124 49018157/20,CABALLITO,6,-58.441257370431849,-34.62146198329966
745,FARMACIA,AV RIESTRA,6148,RIESTRA AV. 6148,46014785,VILLA LUGANO,8,-58.478655326335748,-34.680565642209984
746,FARMACIA,AV JUAN B. ALBERDI,4101,"ALBERDI, JUAN BAUTISTA AV. 4101",46717909,VELEZ SARSFIELD,10,-58.483177688077021,-34.638920619245852
747,FARMACIA,JUNCAL,2733,JUNCAL 2733,48215080 48233241,RECOLETA,2,-58.404394343518661,-34.589258249828191
748,FARMACIA,RAMON L. FALCON,2542,"FALCON, RAMON L.,CNEL. 2542",46120531,FLORES,7,-58.464085619371239,-34.630838944341704
