SECTOR,AFECTACION,GEOMETRY
Villa Urquiza - Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.474784,-34.569962|||-58.475224,-34.569526|||-58.475444,-34.569307|||-58.475573,-34.56918|||-58.475683,-34.569065|||-58.474672,-34.568444|||-58.474664,-34.568439|||-58.474664,-34.568439|||-58.474663,-34.568439|||-58.474591,-34.568401|||-58.47459,-34.5684|||-58.474589,-34.568399|||-58.474589,-34.568399|||-58.474589,-34.568399|||-58.474587,-34.568398|||-58.473749,-34.567891|||-58.473749,-34.567892|||-58.473749,-34.567891|||-58.473679,-34.56785|||-58.472868,-34.567354|||-58.47328,-34.566876|||-58.473389,-34.566751|||-58.473899,-34.567055|||-58.474191,-34.567231|||-58.47411,-34.567326|||-58.474014,-34.567441|||-58.473818,-34.567679|||-58.47368,-34.56785|||-58.473749,-34.567891|||-58.473749,-34.567891|||-58.473749,-34.567891|||-58.473894,-34.567717|||-58.4741,-34.567465|||-58.474198,-34.567346|||-58.474263,-34.567273|||-58.474398,-34.567351|||-58.474938,-34.567674|||-58.475113,-34.567778|||-58.475048,-34.567854|||-58.474979,-34.567936|||-58.474793,-34.568157|||-58.474589,-34.568399|||-58.474589,-34.568399|||-58.47459,-34.5684|||-58.474591,-34.568401|||-58.474596,-34.568403|||-58.474663,-34.568439|||-58.474664,-34.568439|||-58.474886,-34.568172|||-58.475067,-34.567956|||-58.475124,-34.567889|||-58.475183,-34.56782|||-58.475451,-34.567978|||-58.475967,-34.568284|||-58.476201,-34.568426|||-58.476056,-34.568578|||-58.475622,-34.569026|||-58.475684,-34.569065|||-58.475749,-34.569005|||-58.476136,-34.568618|||-58.47622,-34.568533|||-58.476379,-34.568377|||-58.476034,-34.568173|||-58.475491,-34.567847|||-58.475278,-34.567721|||-58.475431,-34.567575|||-58.475553,-34.567466|||-58.475709,-34.567324|||-58.475896,-34.567174|||-58.476203,-34.566889|||-58.476138,-34.566844|||-58.475822,-34.567121|||-58.475635,-34.567288|||-58.475415,-34.567485|||-58.475199,-34.567675|||-58.475016,-34.567567|||-58.47449,-34.56725|||-58.474356,-34.567171|||-58.474577,-34.56691|||-58.474464,-34.566879|||-58.47426,-34.567115|||-58.473975,-34.566947|||-58.47348,-34.566651|||-58.473354,-34.566575|||-58.472596,-34.566102|||-58.472522,-34.566053|||-58.472421,-34.566178|||-58.472966,-34.56651|||-58.473258,-34.566686|||-58.473133,-34.566828|||-58.472745,-34.567281|||-58.471932,-34.566788|||-58.472129,-34.566536|||-58.472238,-34.566399|||-58.472556,-34.566012|||-58.472661,-34.565889|||-58.473016,-34.565492|||-58.473328,-34.56514|||-58.473257,-34.565101|||-58.472927,-34.565468|||-58.472581,-34.565854|||-58.472476,-34.565972|||-58.472447,-34.566009|||-58.47231,-34.565926|||-58.472101,-34.565797|||-58.471871,-34.565656|||-58.471489,-34.56542|||-58.471365,-34.565557|||-58.471689,-34.565756|||-58.472177,-34.566056|||-58.472333,-34.566151|||-58.472148,-34.566382|||-58.472048,-34.566513|||-58.471858,-34.566744|||-58.471118,-34.566287|||-58.470482,-34.565932|||-58.469944,-34.565612|||-58.469106,-34.565118|||-58.469041,-34.565071|||-58.469158,-34.56493|||-58.469517,-34.564522|||-58.469813,-34.56418|||-58.470127,-34.563818|||-58.470393,-34.56351|||-58.470523,-34.563365|||-58.470578,-34.563398|||-58.470944,-34.563607|||-58.471363,-34.563848|||-58.471021,-34.564202|||-58.470688,-34.56455|||-58.470467,-34.564781|||-58.470541,-34.564818|||-58.470777,-34.564572|||-58.47115,-34.564184|||-58.471431,-34.563889|||-58.471485,-34.563833|||-58.470989,-34.563546|||-58.470632,-34.563341|||-58.470476,-34.563251|||-58.470279,-34.563483|||-58.470001,-34.563802|||-58.469629,-34.564231|||-58.469473,-34.564131|||-58.468714,-34.56363|||-58.469232,-34.563038|||-58.469424,-34.562818|||-58.469568,-34.562652|||-58.469951,-34.562209|||-58.470242,-34.561878|||-58.470329,-34.561776|||-58.47071,-34.561336|||-58.470935,-34.561078|||-58.470839,-34.561026|||-58.470571,-34.561334|||-58.470179,-34.561787|||-58.469847,-34.56217|||-58.46947,-34.562606|||-58.469314,-34.562786|||-58.46867,-34.563531|||-58.468479,-34.563768|||-58.468156,-34.56414|||-58.467916,-34.564414|||-58.467822,-34.564362|||-58.467374,-34.564092|||-58.466886,-34.563798|||-58.466833,-34.563857|||-58.467317,-34.564147|||-58.467773,-34.564421|||-58.467798,-34.564436|||-58.467866,-34.564473|||-58.467936,-34.564519|||-58.468255,-34.56415|||-58.468507,-34.563855|||-58.468589,-34.563766|||-58.469503,-34.56437|||-58.469426,-34.564465|||-58.469032,-34.56492|||-58.468893,-34.565077|||-58.469075,-34.565186|||-58.469868,-34.565656|||-58.470319,-34.565924|||-58.471019,-34.566322|||-58.471807,-34.5668|||-58.47174,-34.566881|||-58.471478,-34.567191|||-58.47122,-34.567498|||-58.471059,-34.567688|||-58.471129,-34.567731|||-58.471323,-34.567501|||-58.471574,-34.567208|||-58.471792,-34.566949|||-58.471886,-34.566848|||-58.472696,-34.56734|||-58.471962,-34.568208|||-58.471803,-34.568394|||-58.471679,-34.568537|||-58.471519,-34.568726|||-58.471325,-34.568954|||-58.47114,-34.569172|||-58.471264,-34.569244|||-58.471493,-34.568975|||-58.471678,-34.568756|||-58.471907,-34.568488|||-58.47197,-34.568406|||-58.472487,-34.568723|||-58.473546,-34.569371|||-58.473698,-34.569469|||-58.473609,-34.569576|||-58.473476,-34.569732|||-58.473157,-34.570109|||-58.473018,-34.570275|||-58.473027,-34.570282|||-58.473083,-34.570317|||-58.473288,-34.570079|||-58.473556,-34.569763|||-58.473699,-34.569596|||-58.473773,-34.569514|||-58.473834,-34.56955|||-58.47455,-34.569976|||-58.474622,-34.570022|||-58.474461,-34.570213|||-58.474305,-34.570394|||-58.474099,-34.570635|||-58.473934,-34.570824|||-58.473866,-34.570783|||-58.473637,-34.570646|||-58.473279,-34.570437|||-58.473083,-34.570322|||-58.473018,-34.570399|||-58.473229,-34.570521|||-58.473557,-34.570714|||-58.473811,-34.570866|||-58.473997,-34.570975|||-58.474028,-34.570993|||-58.474717,-34.5714|||-58.474915,-34.571518|||-58.475389,-34.571796|||-58.475807,-34.572045|||-58.475907,-34.571923|||-58.476011,-34.571799|||-58.476109,-34.571686|||-58.47649,-34.571239|||-58.476721,-34.570985|||-58.477389,-34.570315|||-58.477575,-34.570122|||-58.478122,-34.569573|||-58.478052,-34.569531|||-58.477508,-34.570081|||-58.477314,-34.570275|||-58.476636,-34.570958|||-58.47641,-34.571206|||-58.476017,-34.571668|||-58.475889,-34.57182|||-58.475796,-34.571924|||-58.475428,-34.571704|||-58.475004,-34.571453|||-58.474779,-34.571321|||-58.474133,-34.57094|||-58.474009,-34.570866|||-58.474172,-34.570668|||-58.474363,-34.570439|||-58.474566,-34.570193|||-58.474621,-34.570132|||-58.474687,-34.57006|||-58.474826,-34.570143|||-58.475526,-34.570561|||-58.475616,-34.57046|||-58.474986,-34.570083|||-58.474784,-34.569962</coordinates></LinearRing></outerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-58.472884,-34.568811|||-58.472555,-34.568609|||-58.472062,-34.568305|||-58.472248,-34.568086|||-58.472812,-34.567412|||-58.47363,-34.567907|||-58.47349,-34.568076|||-58.473311,-34.568294|||-58.473003,-34.568667|||-58.472884,-34.568811</coordinates></LinearRing></innerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-58.472952,-34.568853|||-58.472884,-34.568811|||-58.472884,-34.568811|||-58.472952,-34.568853</coordinates></LinearRing></innerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-58.472953,-34.568853|||-58.472952,-34.568854|||-58.472952,-34.568853|||-58.472953,-34.568853</coordinates></LinearRing></innerBoundaryIs><innerBoundaryIs><LinearRing><coordinates>-58.472953,-34.568853|||-58.473081,-34.568696|||-58.473428,-34.568277|||-58.473628,-34.568037|||-58.473704,-34.567953|||-58.474541,-34.568461|||-58.474018,-34.569086|||-58.473787,-34.569361|||-58.473855,-34.569404|||-58.474164,-34.569035|||-58.474614,-34.568499|||-58.475562,-34.569079|||-58.47536,-34.569282|||-58.475133,-34.569507|||-58.474769,-34.569866|||-58.474717,-34.569923|||-58.474719,-34.569923|||-58.474784,-34.569962|||-58.474784,-34.569962|||-58.474719,-34.569923|||-58.474718,-34.569923|||-58.474648,-34.56988|||-58.473956,-34.569466|||-58.472953,-34.568853</coordinates></LinearRing></innerBoundaryIs></Polygon>"
Villa Urquiza - Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.477562,-34.571793|||-58.477492,-34.571746|||-58.47717,-34.572109|||-58.476868,-34.572449|||-58.476576,-34.572776|||-58.476245,-34.573148|||-58.475963,-34.57347|||-58.476032,-34.573511|||-58.476318,-34.573187|||-58.476698,-34.572763|||-58.476939,-34.572488|||-58.477223,-34.572172|||-58.477562,-34.571793</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Urquiza - Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.473203,-34.563559|||-58.473151,-34.563616|||-58.473226,-34.563658|||-58.473359,-34.563733|||-58.473493,-34.563808|||-58.473616,-34.563877|||-58.473767,-34.563962|||-58.473908,-34.564041|||-58.47402,-34.564104|||-58.474212,-34.564215|||-58.474283,-34.564258|||-58.474377,-34.564315|||-58.474467,-34.56437|||-58.474565,-34.56443|||-58.474649,-34.564481|||-58.47474,-34.564537|||-58.474842,-34.564599|||-58.474953,-34.564667|||-58.475112,-34.564763|||-58.475167,-34.564704|||-58.475028,-34.564621|||-58.474893,-34.56454|||-58.474788,-34.564476|||-58.474709,-34.564428|||-58.474607,-34.564366|||-58.474522,-34.564314|||-58.47443,-34.564258|||-58.474331,-34.564198|||-58.474254,-34.564152|||-58.474221,-34.564133|||-58.474325,-34.564014|||-58.474445,-34.563879|||-58.474602,-34.5637|||-58.474726,-34.563561|||-58.474867,-34.563402|||-58.474995,-34.563258|||-58.474923,-34.563218|||-58.474766,-34.563395|||-58.474635,-34.563542|||-58.474502,-34.563694|||-58.474376,-34.563835|||-58.474253,-34.563974|||-58.474152,-34.564091|||-58.474075,-34.564049|||-58.473947,-34.563977|||-58.473799,-34.563894|||-58.473661,-34.563816|||-58.47354,-34.563747|||-58.473408,-34.563674|||-58.473258,-34.563589|||-58.473203,-34.563559</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Urquiza - Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.470245,-34.568644|||-58.469863,-34.568421|||-58.469367,-34.568131|||-58.469301,-34.568204|||-58.469792,-34.568493|||-58.470171,-34.568717|||-58.470245,-34.568644</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Urquiza - Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.466567,-34.567927|||-58.466474,-34.567873|||-58.466254,-34.568127|||-58.465925,-34.568509|||-58.465722,-34.568739|||-58.465563,-34.568645|||-58.464749,-34.568162|||-58.464623,-34.568101|||-58.464242,-34.567876|||-58.463727,-34.567568|||-58.463704,-34.567552|||-58.463693,-34.567532|||-58.463565,-34.567456|||-58.463387,-34.56734|||-58.463311,-34.567323|||-58.463247,-34.567288|||-58.462909,-34.567083|||-58.462617,-34.566914|||-58.462572,-34.566973|||-58.463178,-34.567336|||-58.463508,-34.567528|||-58.46349,-34.567562|||-58.463293,-34.567782|||-58.462958,-34.568166|||-58.462743,-34.56841|||-58.462664,-34.568365|||-58.462345,-34.568175|||-58.462098,-34.568029|||-58.461982,-34.568077|||-58.462297,-34.568262|||-58.462673,-34.568486|||-58.462777,-34.568548|||-58.463094,-34.56818|||-58.463413,-34.567811|||-58.463535,-34.567665|||-58.463608,-34.567586|||-58.46371,-34.567646|||-58.464139,-34.567901|||-58.464562,-34.568153|||-58.464735,-34.568267|||-58.465557,-34.568754|||-58.465748,-34.568867|||-58.466019,-34.56856|||-58.466382,-34.568141|||-58.466567,-34.567927</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Urquiza - Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.466524,-34.567814|||-58.466369,-34.567722|||-58.466124,-34.567578|||-58.465868,-34.567427|||-58.465614,-34.567277|||-58.465572,-34.567243|||-58.465504,-34.567199|||-58.465446,-34.567259|||-58.465595,-34.567352|||-58.465834,-34.567494|||-58.466066,-34.567632|||-58.466335,-34.567792|||-58.466473,-34.567874|||-58.466524,-34.567814</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Urquiza - Belgrano,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.461015,-34.568751|||-58.460945,-34.568822|||-58.460971,-34.568833|||-58.461822,-34.56932|||-58.461918,-34.569378|||-58.461763,-34.569562|||-58.461516,-34.569854|||-58.461223,-34.570206|||-58.460936,-34.57055|||-58.461031,-34.570601|||-58.461333,-34.570239|||-58.461668,-34.569841|||-58.461877,-34.569592|||-58.462013,-34.569431|||-58.462359,-34.569633|||-58.463042,-34.570027|||-58.463107,-34.569954|||-58.462238,-34.569453|||-58.46185,-34.56923|||-58.461085,-34.56879|||-58.461015,-34.568751</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Palermo Viejo,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.422336,-34.57558|||-58.423106,-34.576417|||-58.423618,-34.576973|||-58.424274,-34.577673|||-58.423427,-34.578183|||-58.423264,-34.578285|||-58.422678,-34.578638|||-58.422504,-34.578744|||-58.422554,-34.578825|||-58.422771,-34.5787|||-58.42333,-34.578361|||-58.423546,-34.578229|||-58.424433,-34.577695|||-58.423716,-34.576924|||-58.423199,-34.57636|||-58.422443,-34.575545|||-58.422333,-34.575577|||-58.422336,-34.57558</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Palermo Viejo,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.422437,-34.575544|||-58.422301,-34.575403|||-58.421954,-34.574767|||-58.421587,-34.5741|||-58.42128,-34.573567|||-58.421175,-34.573614|||-58.421421,-34.574032|||-58.42185,-34.574802|||-58.422184,-34.575403|||-58.422329,-34.575576|||-58.422437,-34.575544</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Palermo Viejo,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.423071,-34.572774|||-58.422603,-34.572974|||-58.42235,-34.573081|||-58.422677,-34.573665|||-58.422833,-34.573945|||-58.422898,-34.574054|||-58.423083,-34.574384|||-58.42333,-34.57483|||-58.423427,-34.575003|||-58.423536,-34.575191|||-58.423764,-34.575593|||-58.423949,-34.575925|||-58.424074,-34.576149|||-58.424168,-34.576096|||-58.424037,-34.575863|||-58.423857,-34.575541|||-58.423638,-34.575148|||-58.423537,-34.574969|||-58.423433,-34.574787|||-58.423207,-34.574382|||-58.422999,-34.574012|||-58.422984,-34.573986|||-58.423572,-34.573724|||-58.423533,-34.573647|||-58.422937,-34.573899|||-58.422918,-34.573869|||-58.422767,-34.573599|||-58.422507,-34.573134|||-58.422652,-34.573069|||-58.423126,-34.572857|||-58.423071,-34.572774</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Palermo Viejo,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.421341,-34.575941|||-58.421235,-34.575979|||-58.421809,-34.576596|||-58.422165,-34.576982|||-58.422436,-34.57727|||-58.422507,-34.57735|||-58.422218,-34.577523|||-58.421866,-34.577736|||-58.421868,-34.577752|||-58.421911,-34.577823|||-58.422349,-34.57756|||-58.422576,-34.577421|||-58.422624,-34.577469|||-58.422959,-34.577831|||-58.423336,-34.57824|||-58.423426,-34.578185|||-58.42303,-34.577755|||-58.422671,-34.577369|||-58.423048,-34.577141|||-58.423515,-34.576863|||-58.423447,-34.576788|||-58.422982,-34.577062|||-58.422601,-34.577293|||-58.422558,-34.577249|||-58.421341,-34.575941</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Palermo Viejo,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.439117,-34.592199|||-58.439025,-34.592142|||-58.438625,-34.592569|||-58.438506,-34.5927|||-58.438808,-34.592873|||-58.439364,-34.593191|||-58.439622,-34.593342|||-58.439697,-34.593262|||-58.439482,-34.593141|||-58.438877,-34.592797|||-58.438668,-34.592681|||-58.438769,-34.592566|||-58.439045,-34.59227|||-58.439117,-34.592199</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Palermo Viejo,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.429274,-34.57715|||-58.429146,-34.576921|||-58.429104,-34.57685|||-58.429037,-34.576701|||-58.428457,-34.57723|||-58.428567,-34.577279|||-58.428824,-34.577021|||-58.429009,-34.576839|||-58.429013,-34.576851|||-58.429011,-34.576861|||-58.429002,-34.576919|||-58.429004,-34.576948|||-58.429015,-34.577024|||-58.429057,-34.577105|||-58.429071,-34.57713|||-58.429076,-34.577152|||-58.42907,-34.577182|||-58.429051,-34.577206|||-58.429034,-34.577218|||-58.429113,-34.5772|||-58.429107,-34.577195|||-58.429108,-34.57719|||-58.429124,-34.577152|||-58.429137,-34.577109|||-58.429137,-34.577091|||-58.429145,-34.577091|||-58.429154,-34.577135|||-58.429162,-34.57716|||-58.429172,-34.577182|||-58.429116,-34.5772|||-58.429038,-34.577217|||-58.428936,-34.57725|||-58.428858,-34.577263|||-58.428802,-34.57727|||-58.428722,-34.57728|||-58.428665,-34.577286|||-58.428636,-34.577291|||-58.428602,-34.577296|||-58.428588,-34.577299|||-58.428572,-34.577283|||-58.428455,-34.57723|||-58.427609,-34.577509|||-58.426898,-34.577731|||-58.426511,-34.577869|||-58.426552,-34.577964|||-58.426504,-34.577981|||-58.426038,-34.578152|||-58.42562,-34.578306|||-58.425213,-34.578537|||-58.42443,-34.577698|||-58.42434,-34.577752|||-58.425117,-34.578592|||-58.42504,-34.578636|||-58.42426,-34.579082|||-58.423495,-34.578262|||-58.423406,-34.578315|||-58.424162,-34.579135|||-58.424025,-34.579224|||-58.423705,-34.579409|||-58.423235,-34.579706|||-58.423535,-34.58003|||-58.424432,-34.57941|||-58.425264,-34.578869|||-58.42532,-34.578824|||-58.426072,-34.579678|||-58.42624,-34.579863|||-58.426942,-34.580658|||-58.426994,-34.58072|||-58.426144,-34.581362|||-58.42622,-34.581435|||-58.426828,-34.582096|||-58.427411,-34.58275|||-58.428016,-34.583429|||-58.428101,-34.583359|||-58.427512,-34.582702|||-58.426904,-34.582008|||-58.426312,-34.58137|||-58.42706,-34.580804|||-58.42712,-34.580869|||-58.427306,-34.581076|||-58.427913,-34.581775|||-58.427998,-34.581697|||-58.427458,-34.581091|||-58.426413,-34.579899|||-58.42542,-34.578743|||-58.425472,-34.578702|||-58.425677,-34.578573|||-58.425847,-34.578487|||-58.425947,-34.578439|||-58.426444,-34.578271|||-58.426692,-34.578204|||-58.427389,-34.577984|||-58.427569,-34.577926|||-58.428218,-34.577718|||-58.428692,-34.577565|||-58.429777,-34.578512|||-58.430304,-34.578968|||-58.431199,-34.579754|||-58.431859,-34.580329|||-58.431962,-34.580429|||-58.432493,-34.580879|||-58.432186,-34.581128|||-58.431655,-34.581554|||-58.431732,-34.581619|||-58.432296,-34.581173|||-58.432661,-34.580886|||-58.432469,-34.580724|||-58.432076,-34.580381|||-58.431969,-34.580287|||-58.431269,-34.579679|||-58.430851,-34.579309|||-58.430364,-34.578888|||-58.429851,-34.578437|||-58.428814,-34.577528|||-58.429378,-34.577364|||-58.429274,-34.57715</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Palermo Viejo,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.436296,-34.58423|||-58.436224,-34.584158|||-58.435387,-34.584806|||-58.43547,-34.584873|||-58.436296,-34.58423</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Palermo Viejo,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.437193,-34.584856|||-58.437109,-34.584919|||-58.438212,-34.585883|||-58.43919,-34.586736|||-58.439273,-34.586678|||-58.438273,-34.585804|||-58.438066,-34.585616|||-58.437193,-34.584856</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Palermo Viejo,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.441368,-34.589795|||-58.441287,-34.589724|||-58.441256,-34.589759|||-58.44116,-34.589859|||-58.441039,-34.589992|||-58.440905,-34.590135|||-58.440667,-34.590389|||-58.440757,-34.590454|||-58.440797,-34.590405|||-58.440921,-34.590268|||-58.441055,-34.590119|||-58.441116,-34.590053|||-58.441151,-34.590024|||-58.441263,-34.58991|||-58.441368,-34.589795</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Palermo Viejo,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.440749,-34.590463|||-58.440679,-34.590533|||-58.441261,-34.591007|||-58.441686,-34.591354|||-58.442493,-34.592014|||-58.443416,-34.592765|||-58.443444,-34.592789|||-58.443466,-34.592811|||-58.443488,-34.592827|||-58.443507,-34.592844|||-58.443542,-34.592874|||-58.443592,-34.592822|||-58.443612,-34.592801|||-58.443477,-34.592686|||-58.442746,-34.592087|||-58.442573,-34.591951|||-58.44177,-34.591296|||-58.441715,-34.591255|||-58.442341,-34.590592|||-58.44224,-34.590548|||-58.441639,-34.591188|||-58.441599,-34.591156|||-58.441351,-34.590953|||-58.440749,-34.590463</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Palermo Viejo,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.440103,-34.59482|||-58.440031,-34.594898|||-58.440965,-34.595458|||-58.440699,-34.595743|||-58.440204,-34.596274|||-58.440289,-34.59633|||-58.440796,-34.595792|||-58.441061,-34.595514|||-58.441137,-34.59556|||-58.441649,-34.595867|||-58.442275,-34.596242|||-58.442456,-34.596353|||-58.442536,-34.596282|||-58.442347,-34.59617|||-58.441712,-34.595789|||-58.441162,-34.595459|||-58.44046,-34.595038|||-58.440103,-34.59482</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Palermo Viejo,Mediano anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.434429,-34.585694|||-58.434381,-34.585733|||-58.435109,-34.586331|||-58.435318,-34.586495|||-58.435929,-34.58699|||-58.436185,-34.587194|||-58.436236,-34.587159|||-58.437399,-34.588103|||-58.437947,-34.588365|||-58.43792,-34.588291|||-58.43746,-34.58806|||-58.437811,-34.587815|||-58.437707,-34.587754|||-58.437351,-34.58801|||-58.436279,-34.587128|||-58.436599,-34.586895|||-58.436516,-34.586823|||-58.436151,-34.587098|||-58.435983,-34.586965|||-58.435392,-34.58648|||-58.435339,-34.586433|||-58.435646,-34.586179|||-58.435557,-34.586113|||-58.435255,-34.586365|||-58.435151,-34.58629|||-58.434429,-34.585694</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Soldati,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.440547,-34.659464|||-58.440482,-34.659416|||-58.440154,-34.659167|||-58.439533,-34.658683|||-58.439472,-34.658731|||-58.440415,-34.659468|||-58.439565,-34.660144|||-58.439504,-34.660192|||-58.439107,-34.65987|||-58.438645,-34.659501|||-58.438574,-34.659442|||-58.438511,-34.659493|||-58.439,-34.659886|||-58.439439,-34.660243|||-58.43892,-34.660653|||-58.438524,-34.660313|||-58.438021,-34.659881|||-58.437974,-34.659917|||-58.438506,-34.660376|||-58.438871,-34.660692|||-58.438601,-34.660905|||-58.438466,-34.661012|||-58.438187,-34.660777|||-58.437941,-34.660565|||-58.437584,-34.66026|||-58.437563,-34.660242|||-58.437499,-34.660294|||-58.437832,-34.660579|||-58.438017,-34.660731|||-58.43803,-34.660763|||-58.438023,-34.660791|||-58.437999,-34.660812|||-58.437967,-34.660818|||-58.437923,-34.660806|||-58.437491,-34.660625|||-58.437222,-34.660512|||-58.437152,-34.660568|||-58.437595,-34.66075|||-58.437854,-34.660862|||-58.438386,-34.661082|||-58.438249,-34.661191|||-58.437868,-34.66103|||-58.437328,-34.660805|||-58.437018,-34.660675|||-58.436937,-34.66074|||-58.437313,-34.660895|||-58.437868,-34.661128|||-58.438168,-34.661254|||-58.438114,-34.661301|||-58.437564,-34.661738|||-58.437537,-34.66176|||-58.437403,-34.661641|||-58.436937,-34.66124|||-58.436639,-34.660981|||-58.436577,-34.661029|||-58.436874,-34.66129|||-58.437348,-34.661706|||-58.437469,-34.661814|||-58.43741,-34.661865|||-58.436814,-34.662332|||-58.436721,-34.662405|||-58.436374,-34.662116|||-58.435947,-34.661763|||-58.435812,-34.661645|||-58.435746,-34.661697|||-58.435861,-34.661789|||-58.436305,-34.662161|||-58.436659,-34.662457|||-58.436587,-34.662518|||-58.436143,-34.662871|||-58.436224,-34.662908|||-58.436622,-34.662585|||-58.436716,-34.662508|||-58.437546,-34.663201|||-58.437817,-34.663427|||-58.43789,-34.663378|||-58.437604,-34.663142|||-58.436964,-34.662608|||-58.436786,-34.662458|||-58.436843,-34.662416|||-58.437533,-34.661864|||-58.437902,-34.662178|||-58.438433,-34.662634|||-58.438613,-34.662798|||-58.438679,-34.662748|||-58.438555,-34.662643|||-58.437973,-34.662136|||-58.437601,-34.661812|||-58.43814,-34.661382|||-58.438623,-34.66099|||-58.438985,-34.660705|||-58.439643,-34.660185|||-58.440547,-34.659464</coordinates></LinearRing></outerBoundaryIs></Polygon>"
Villa Crespo,Mayor anegamiento,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-58.451079,-34.599322|||-58.450807,-34.599407|||-58.451011,-34.599545|||-58.451211,-34.599689|||-58.451879,-34.600139|||-58.452038,-34.599975|||-58.451079,-34.599322</coordinates></LinearRing></outerBoundaryIs></Polygon>"
